500
0 6 12
0 8 72
0 5 282
0 8 443
0 5 479
1 2 31
1 9 233
1 1 285
2 4 12
2 10 66
2 9 151
2 10 350
3 9 62
3 10 77
3 6 143
3 10 150
3 2 223
4 3 200
4 1 223
4 2 224
4 4 474
5 1 176
5 10 426
5 6 474
6 6 160
6 7 373
7 7 303
7 1 352
7 4 471
8 1 62
8 10 231
8 9 280
8 7 288
8 9 476
8 5 498
9 7 53
9 1 98
9 7 406
9 3 490
10 9 153
10 5 196
10 5 273
10 10 341
10 4 484
11 1 80
11 5 265
11 1 317
11 3 391
12 9 34
12 4 199
12 4 414
12 3 497
13 8 43
13 7 137
13 2 260
13 3 360
14 1 95
14 1 146
14 9 150
14 2 381
14 3 484
15 7 34
15 8 312
15 2 335
15 4 383
15 4 468
16 10 377
17 9 65
17 5 120
17 1 271
17 3 341
17 6 467
17 8 486
18 8 400
18 6 478
19 8 24
19 3 407
20 8 32
20 1 325
20 2 339
20 6 415
21 10 245
21 7 249
21 10 281
22 8 439
23 5 148
23 5 238
23 7 286
23 9 330
23 2 357
24 5 160
24 1 282
24 3 455
25 10 199
25 4 316
25 6 317
25 2 380
26 9 192
26 9 371
27 2 184
27 10 308
27 10 383
27 7 436
28 5 175
28 4 312
28 10 389
29 8 361
30 8 69
30 1 231
31 8 142
31 6 192
31 6 495
31 3 498
32 1 210
32 3 263
32 4 356
33 4 61
33 10 109
33 6 349
33 8 473
34 1 119
34 3 186
34 5 224
34 1 405
34 6 408
34 2 447
35 6 76
35 6 175
35 1 284
35 8 312
36 10 221
36 6 265
36 5 383
36 1 391
36 6 397
36 9 399
36 10 456
37 5 149
37 10 171
37 8 477
38 7 39
38 2 145
38 1 369
39 4 241
40 7 209
40 7 224
40 9 349
41 1 42
41 3 43
41 2 124
41 2 301
41 2 314
41 10 414
42 3 262
42 2 343
44 10 107
44 4 169
45 1 176
45 4 310
45 2 479
46 2 78
46 1 307
46 1 387
47 3 417
47 4 494
48 9 102
48 7 420
48 6 480
49 9 375
49 3 449
49 8 451
50 2 94
50 1 224
50 4 240
50 4 293
50 8 371
51 3 318
52 9 137
52 2 477
53 6 423
54 8 97
54 2 348
54 8 376
54 6 379
55 8 90
55 2 111
55 1 200
55 2 465
55 5 473
56 6 82
56 9 85
56 4 117
56 6 169
56 2 397
56 9 416
56 9 476
57 10 74
57 9 207
57 4 262
57 10 481
58 5 153
58 2 176
58 10 355
58 1 484
59 8 90
59 10 149
59 1 163
59 9 243
59 2 318
59 10 480
60 3 361
60 8 389
60 7 413
61 4 400
61 3 486
62 8 263
62 1 329
62 4 434
63 7 202
63 9 458
64 4 179
64 3 419
64 4 437
65 10 153
65 10 221
65 1 297
65 7 344
66 2 104
66 8 110
66 9 185
66 9 205
67 9 235
67 9 381
67 1 428
67 9 436
68 9 70
68 4 191
68 3 224
68 9 375
68 6 385
69 9 217
69 10 422
70 10 195
71 6 309
71 5 323
71 7 377
72 3 110
72 8 331
73 10 86
73 4 234
73 4 378
74 1 173
74 2 203
74 2 214
74 2 445
75 4 142
75 2 209
75 9 260
75 7 305
75 1 373
75 8 390
76 4 145
76 8 364
76 10 417
76 1 498
77 6 113
77 10 432
78 4 115
78 1 284
78 9 348
78 9 441
79 7 189
79 1 302
79 4 408
80 3 245
80 2 300
80 10 324
81 1 161
81 2 235
81 9 496
82 7 286
82 6 313
82 10 320
83 6 120
83 2 195
83 5 385
84 2 207
84 10 251
84 9 376
85 9 270
85 5 405
86 4 198
86 10 322
86 7 413
86 10 497
87 9 118
87 2 297
87 9 367
88 1 399
88 5 401
88 6 403
89 9 166
89 5 217
89 9 385
90 3 224
90 8 262
90 6 281
90 5 327
91 9 134
91 6 144
91 4 280
91 5 289
91 7 294
91 4 311
91 5 494
92 6 114
